iter	Passed	Remaining
0	1	194
1	3	182
2	5	162
3	6	148
4	7	135
5	8	125
6	9	120
7	10	122
8	12	123
9	13	120
10	14	118
11	16	120
12	17	120
13	18	115
14	20	118
15	22	120
16	24	117
17	24	113
18	26	112
19	27	111
20	30	113
21	31	110
22	32	109
23	34	109
24	35	106
25	37	107
26	38	104
27	40	104
28	41	102
29	43	101
30	45	101
31	47	101
32	49	100
33	52	101
34	64	120
35	73	131
36	82	141
37	84	138
38	87	136
39	92	139
40	99	143
41	100	138
42	106	141
43	113	144
44	115	141
45	119	140
46	122	137
47	124	134
48	125	130
49	126	126
50	127	122
51	129	119
52	130	115
53	132	113
54	134	109
55	136	107
56	138	104
57	139	101
58	141	98
59	142	95
60	144	92
61	146	89
62	147	86
63	149	83
64	150	81
65	153	78
66	155	76
67	158	74
68	160	72
69	162	69
70	165	67
71	167	65
72	169	62
73	171	60
74	175	58
75	179	56
76	181	54
77	183	51
78	185	49
79	187	46
80	190	44
81	193	42
82	195	39
83	197	37
84	199	35
85	202	32
86	204	30
87	210	28
88	213	26
89	215	23
90	217	21
91	221	19
92	223	16
93	225	14
94	227	11
95	230	9
96	232	7
97	234	4
98	236	2
99	237	0
