iter	Passed	Remaining
0	140	140432
1	142	71182
2	144	48122
3	146	36575
4	148	29643
5	150	24964
6	152	21633
7	154	19125
8	157	17289
9	160	15858
10	162	14595
11	164	13548
12	167	12712
13	170	11996
14	173	11387
15	175	10820
16	178	10340
17	182	9931
18	185	9592
19	189	9266
20	192	8954
21	193	8615
22	195	8314
23	198	8063
24	200	7835
25	202	7574
26	202	7311
27	204	7088
28	205	6885
29	207	6707
30	209	6547
31	211	6395
32	212	6235
33	214	6097
34	216	5963
35	217	5837
36	219	5704
37	220	5583
38	222	5470
39	223	5371
40	225	5272
41	226	5161
42	226	5051
43	228	4958
44	229	4869
45	230	4785
46	232	4706
47	233	4630
48	234	4558
49	236	4501
50	238	4436
51	240	4381
52	242	4326
53	243	4269
54	245	4210
55	246	4150
56	247	4093
57	248	4038
58	250	3989
59	251	3940
60	252	3890
61	254	3846
62	255	3800
63	256	3753
64	257	3704
65	258	3662
66	260	3621
67	261	3580
68	262	3539
69	263	3500
70	264	3461
71	265	3421
72	266	3387
73	267	3350
74	268	3315
75	269	3281
76	271	3249
77	272	3215
78	272	3181
79	273	3148
80	274	3115
81	275	3084
82	276	3049
83	277	3020
84	277	2992
85	278	2964
86	280	2940
87	281	2912
88	281	2884
89	282	2857
90	283	2830
91	284	2808
92	285	2784
93	286	2759
94	287	2734
95	287	2709
96	288	2686
97	289	2662
98	290	2639
99	290	2617
100	291	2595
101	292	2574
102	293	2554
103	294	2533
104	294	2513
105	295	2493
106	296	2473
107	297	2453
108	297	2434
109	298	2415
110	299	2396
111	300	2378
112	300	2361
113	301	2344
114	302	2327
115	303	2311
116	303	2293
117	304	2277
118	305	2260
119	305	2243
120	306	2229
121	307	2212
122	308	2196
123	308	2181
124	309	2166
125	310	2151
126	310	2135
127	311	2122
128	312	2109
129	313	2095
130	313	2082
131	314	2069
132	315	2057
133	316	2044
134	317	2031
135	317	2018
136	318	2005
137	318	1992
138	319	1980
139	320	1968
140	321	1957
141	321	1944
142	322	1933
143	323	1921
144	323	1909
145	324	1898
146	325	1887
147	326	1877
148	326	1866
149	327	1855
150	328	1845
151	328	1834
152	329	1825
153	330	1815
154	331	1806
155	332	1796
156	332	1787
157	333	1777
158	334	1769
159	335	1759
160	335	1749
161	336	1739
162	337	1730
163	337	1721
164	338	1713
165	339	1705
166	340	1697
167	341	1689
168	341	1680
169	342	1672
170	343	1664
171	344	1656
172	344	1648
173	345	1641
174	346	1633
175	347	1625
176	348	1619
177	348	1611
178	349	1604
179	350	1596
180	351	1589
181	351	1581
182	352	1574
183	353	1567
184	354	1560
185	354	1552
186	355	1545
187	356	1538
188	356	1531
189	357	1524
190	358	1517
191	359	1510
192	359	1504
193	360	1497
194	361	1491
195	362	1486
196	363	1481
197	364	1475
198	365	1470
199	366	1464
200	366	1458
201	367	1452
202	368	1447
203	369	1441
204	370	1435
